店名,地址,電話
 基隆長庚店 (基隆長庚醫院旁),基隆市安樂區安樂路二段164號B1,(02)2432-8508
 署基院外店 (基隆長庚醫院旁),基隆市信義區信二路229號,(02)2426-9817
 台礦店 (礦工醫院1樓),基隆市暖暖區源遠路29號,(02)2457-8267
 北車維康藥局,台北市中正區青島西路7號,(02)2361-3623
 和平店 (聯合醫院和平院區1樓),台北市中正區中華路二段33號1樓,(02)2388-7353
 三總汀洲店 (三軍總醫院對面),台北市中正區汀洲路三段119號,(02)2367-7750
 中興店 (中興院區B1),台北市大同區鄭州路145號B1,(02)2559-0496
 北馬三店 (馬偕紀念醫院1樓),台北市中正區中山北路二段92號1樓,(02)2531-2353
 馬偕福利社 (馬偕紀念醫院B2),台北市中正區中山北路二段92號B2,(02)2531-8431
 國軍松山店 (國軍松山醫院1樓),台北市松山區健康路131號1樓,(02)2761-0601
 台安店 (台大門診大樓1樓),台北市松山區 八德路二段410巷5弄1號1樓,(02)2771-7297
 維康藥局國泰店 (近國泰綜合醫院),台北市大安區仁愛路四段266巷15弄20號,(02)2754-2185
 維康藥局台北長庚店,台北市松山區敦化北路199巷2弄1號,(02)2719-9386
 維康藥局國泰店 (近國泰綜合醫院),台北市大安區仁愛路四段266巷15弄20號,(02)2754-2185
 維康藥局國泰店 (近國泰綜合醫院),台北市大安區仁愛路四段266巷15弄20號,(02)2754-2185
 國泰仁愛院外店 (國泰醫院對面),台北市大安區仁愛路四段266巷15弄號12號,(02)2325-6011
 國泰仁愛店 (國泰地下1樓),台北市大安區仁愛路四段280號B1,(02)2784-0762
仁愛院外店 (近聯合醫院仁愛院區),台北市大安區仁愛路四段8巷6號1樓,(02)2705-3392
台大北護院外店 (近台大醫院 北護分院),台北市萬華區內江街96號1樓,(02)2375-3609
 北醫二店 (台北醫學院1F),台北市信義區吳興街252號1F,(02)2732-8784
 信光藥局 (新光醫院指定藥局),台北市士林區文昌路68號,(02)2836-6277
新光院外店 (近新光醫院),台北市士林區文昌路81號,(02)2833-2012
 新光店 (新光吳火獅紀念醫院B3),台北市士林區文昌路95號B3,(02)2834-3709
 陽明院外店 (陽明醫院旁),台北市士林區忠義街62號,(02)2837-5175
北榮院外店 (台北榮總旁),台北市北投區石牌路二段193號一樓,(02)2828-9885
維康藥局北榮店 (台北榮總旁),台北市北投區石牌路二段193號一樓,(02)2820-6411
北榮長照店 (台北榮總旁),台北市北投區石牌路二段195號1樓,(02)2820-6267
