Model,資費,專案費,建議售價
JARVISH VINTAGE PLUS 藍牙復古帽-白 XL,$555,0,"3,990"
Winix空氣清淨機 ZERO+,$999,0,"18,900"
dyson V7FluffyOrigin無線吸塵器,$999,0,"13,999"
SHARP 40吋 FHD顯示器2T-C40AE1T,$999,0,"8,000"
CHIMEI 50吋4K聯網液晶TL-50M280,$999,"4,490","18,900"
dyson supersonic吹風機HD03-桃紅色,$999,"3,490","14,600"
小簡智能型跑步機IDS-106S,$999,0,"12,380"
SHARP 新智慧溫控吹風機-寶石紅IB-JP9T-R,$555,0,"4,990"
dyson V6 mattress 無線除塵蹣機,$999,0,"15,900"
SHARP 清淨除濕機6LDWH6HT(白),$999,0,"7,190"
Samsung Galaxy S20+(G9860) 黑, , ,"36,900"
Samsung Galaxy S20 Ultra(G9880) 黑, , ,"43,900"
vivo Y12 紅, , ,"4,990"
realme 5, , ,"4,490"
Sharp Aquos V 黑, , ,"6,990"
小米 紅米Note8 Pro 綠, , ,"6,599"
OPPO A5 2020, , ,"6,990"
Samsung Galaxy Note 10(N9700), , ,"31,900"
Samsung Galaxy Note 10+(N9750), , ,"36,900"
Samsung Tab A 8(2019)(T295) 銀, , ,"5,490"
Samsung Galaxy A20(A205), , ,"5,990"
OPPO AX5s, , ,"6,490"
Samsung Galaxy S20+(G9860) 黑,$999,"24,990","36,900"
Samsung Galaxy S20(G9810) 灰,$999,"20,990","32,900"
Samsung Galaxy S20 Ultra(G9880) 黑,$999,"31,990","43,900"
vivo Y12 紅,$555,0,"4,990"
realme 5,$555,0,"4,490"
Sharp Aquos V 黑,$777,0,"6,990"
小米 紅米Note8 Pro 綠,$777,0,"6,599"
OPPO A5 2020,$777,0,"6,990"
ASUS ZB555KL(2/16GB) 黑,$555,0,"4,490"
iPhone 11 Pro Max(64G) MWHF2TA/A 銀,"$1,888","5,900","39,900"
Samsung Galaxy A20(A205),$777,0,"5,990"
OPPO AX5s,$777,0,"6,490"
Acer Aethon 500/PKB810 電競機械鍵盤, , ,"6,490"
GPLUS-速譯通智能翻譯機, , ,"3,650"
廣穎 C50口袋型行動電源5000mAh-碳纖酷黑, , ,399
廣穎 口袋型行動電源10000mAh-刺蝟, , ,599
廣穎 口袋型行動電源10000mAh-貓咪, , ,599
大螢膜PRO滿版全膠螢幕保貼-三星NOTE10+, , ,890
大螢膜PRO滿版全膠螢幕保貼-三星NOTE10Lite, , ,890
SOUL STORM防水無線藍牙喇叭-迷彩綠, , ,"1,650"
大螢膜PRO滿版全膠螢幕保貼-三星A51, , ,890
大螢膜PRO滿版全膠螢幕保貼-三星NOTE10, , ,890
SOUL STORM防水無線藍牙喇叭-迷彩藍, , ,"1,650"
SOUL STORM防水無線藍牙喇叭-迷彩紅, , ,"1,650"
大螢膜PRO滿版全膠螢幕保貼-IPhone11Pro, , ,890
大螢膜PRO滿版全膠螢幕保貼-IPhone11ProMax, , ,890
大螢膜PRO滿版全膠螢幕保貼-IPhoneXR, , ,890
大螢膜PRO滿版全膠螢幕保貼-IPhone11, , ,890
SOUL PURE WIRELESS PLUS無線藍牙耳機-粉, , ,"1,280"
SOUL PURE WIRELESS PLUS無線藍牙耳機-白, , ,"1,280"
i2 艾思奎貝殼耳機(線控麥克風)-白, , ,249
SOUL PURE WIRELESS PLUS無線藍牙耳機-藍, , ,"1,280"
SOUL PURE WIRELESS PLUS無線藍牙耳機-黑, , ,"1,280"
i2艾思奎 Bee 蜂聲入耳式耳機-金, , ,399
i2艾思奎 Bee 蜂聲入耳式耳機-粉, , ,399
i2 艾思奎貝殼耳機(線控麥克風)-綠, , ,249
i2艾思奎入耳式線控麥克風耳機-香檳金, , ,349
i2艾思奎入耳式線控麥克風耳機-玫瑰金, , ,349
MYCEll AiR7000 10W 無線行動電源, , ,990
