category1,category2,product,price
筆記型電腦及週邊,筆記型電腦/筆電高興價,Apple MBPR 13.3/2.3GHz/8GB/128GB 灰*MPXQ2TA/A,"$35,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,Apple MBPR 13.3/2.3GHz/8GB/128GB 銀*MPXR2TA/A,"$35,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS ZenBook UX430UN-0191A8550U 石英灰 華碩輕薄筆電/i7-8550U/MX150 2G/8G/512G SSD/14吋FHD/W10/含ASUS原廠保護袋、滑鼠、MircoHDMI to HDMI線材、USB3.0 TO LAN線材,"$28,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,acer Nitor NP515-51-87UV 髮絲黑 宏碁翻轉電競筆電/i7-8550U/GTX1050 4G/8G/1TB+256G PCIE/15.6吋FHD IPS 翻轉觸碰/W10/含acer原廠包包及滑鼠,"$29,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS ROG Zephyrus GM501GM-0021A8750H 華碩西風之神電競筆電/i7-8750H/GTX1060 6G/16G/1TB+256G PCIe/15.6吋FHD 144Hz 3ms IPS/W10/含ASUS ROG impact滑鼠及電競後背包/ ROG Zephyrus M 系列【福利品出清】,"$39,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI Vortex W25 8SK-078TW 微星迷你工作站主機/i7-8700/P3200 6G/16G/1TB+256G PCIe/W10-PR0/3年保,"$57,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI Vortex W25 8SL-079TW 微星迷你工作站主機/i7-8700/P4200 6G/16G/1TB+512G PCIe/W10-PR0/3年保,"$67,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,MSI WE63 8SJ-697TW 微星行動繪圖工作站/i7-8750H/P2000 4G/16G/1TB+256G PCIE/15.6吋FHD/W10-PRO/3年保/含MSI原廠個性後背包及滑鼠【福利品出清】,"$66,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,ASUS ROG Zephyrus GU501GM-0082A8750H 華碩西風之神電競筆電/i7-8750H/GTX1060 6G/8G/1TB+256G PCIe/15.6吋FHD IPS/W10/含ASUS ROG impact滑鼠/ ROG Zephyrus M 系列【福利品出清】,"$33,990"
筆記型電腦及週邊,筆記型電腦/筆電高興價,Apple MBP 13.3/2.3GHZ QC/8GB/256GB Touch Bar 銀*MR9U2TA/A 狂降1萬,"$44,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,Apple MBP 13.3/2.3GHZ QC/8GB/512GB Touch Bar 灰*MR9R2TA/A 狂降萬元,"$52,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,Apple MBP 13.3/2.3GHZ QC/8GB/512GB Touch Bar 銀*MR9V2TA/A,"$52,900"
筆記型電腦及週邊,筆記型電腦/筆電高興價,acer Swift 3 SF314-56-592L 神秘銀 宏碁輕薄筆電/i5-8265U/4G/1TB/14吋FHD IPS/W10/含acer原廠包包及滑鼠【福利品出清】,"$18,300"
